content,rating,tokenized_content,sentiment
"Sản phẩm được giao nhanh chóng, kỹ lưỡng. Cây lau dễ dàng lắp ráp, thùng lau nhà chắc chắn và nhẹ, đủ phụ kiện.",5,sản_phẩm giao nhanh_chóng kỹ_lưỡng cây lau dễ_dàng lắp_ráp thùng lau chắc_chắn nhẹ phụ_kiện,Positive
Cây lau nhà lỗi ko thể dùng được. Lắp vào ko quay dc . Cần đổi hàng,1,cây lau_nhà lỗi không_thể dùng lắp không đổi hàng,Negative
"Hàng méo cong vênh, chốt xoay gãy, mỏng yếu, yêu cầu trả hàng",1,hàng méo cong vênh chốt xoay gãy mỏng yếu yêu_cầu hàng,Negative
tốt,5,tốt,Positive
tốt dễ dàng sử dụng,5,tốt dễ_dàng sử_dụng,Positive
sàn phẩm tốt giao hàng nhanh,5,sàn phẩm tốt giao hàng nhanh,Positive
sp khá tốt so với giá,5,sản_phẩm tốt giá,Positive
Hài lòng giao hàng nhanh,5,hài_lòng giao hàng nhanh,Positive
Hàng giao đúng hẹn,4,hàng giao đúng hẹn,Positive
rất tốt,5,tốt,Positive
"Hôm qua mình mua 1 bình về vợ thấy thích quá. Nên đặt thêm cho vợ 1 bình nữa, mà sáng nay đã giao rồi, Tiki quá tuyệt vời luôn. Gói hàng chắn chắc, shipper thân thiện nữa. Không có chỗ nào chê luôn. 5 sao cho Tiki nha ❤
Nhưng mình hỏi xíu, là bình mình nhận thì nó có hơi hở với không kín. Không biết có thể khắc phục bằng cách nào không?",5,hôm_qua mua 1 bình thích 1 bình giao tiki tuyệt_vời gói hàng shiper thân_thiện không chê 5 tiki nha xíu bình nhận hở không kín không có_thể khắc_phục không,Positive
"Cũng là shop tick xanh uy tín chứ không phải là nơi bán hàng lẻ nào nhỏ cả, nhưng mà thật sự rất thất vọng khi nhận được hàng, sản phẩm đóng không kín nước đổ ra không biết làm cách nào khắc phục, giá cả cũng không hề rẻ so với mặt bằng chung sản phẩm, nhưng nhận lại là sự chăm sóc khách hàng không có tâm trong khi là 1 shop có uy tín, nếu sản phẩm đã không tốt sẵn thì tại sao không thẩm định trước khi bán?? Thôi coi như là 1 bài học, mong shop sẽ có khắc phục chứ như vầy rất thất vọng về sản phẩm",1,cửa_hàng tick xanh uy_tín không hàng lẻ nhỏ thật_sự thất_vọng nhận hàng sản_phẩm đóng không kín nước đổ không khắc_phục giá_cả không hề rẻ mặt_bằng sản_phẩm nhận chăm_sóc khách_hàng không tâm 1 cửa_hàng uy_tín sản_phẩm not-positive sẵn tại_sao không thẩm_định coi 1 bài_học mong cửa_hàng khắc_phục như_vầy thất_vọng sản_phẩm,Negative
"Tiki giao hàng nhanh và đóng gói cẩn thận. Về thương hiệu LocknLock, mình đã sử dụng nhiều và thương hiệu khá uy tín về chất lượng và mẫu mã. Riêng sản phẩm này thì thiết kế vừa tay và chắc, mang phong cách tối giản, đẹp và hữu dụng. Mọi người luôn ủng hộ sản phẩm của LocknLock nhé 👌👌👌",5,tiki giao hàng nhanh đóng_gói cẩn_thận thương_hiệu locknlock sử_dụng thương_hiệu uy_tín chất_lượng mẫu_mã sản_phẩm thiết_kế phong_cách tối_giản đẹp hữu_dụng ủng_hộ sản_phẩm locknlock,Positive
"Giao hàng nhanh, đóng gói cẩn thận nên không bị móp hộp. sản phẩm chính hãng nhìn tổng quan thì ok. chỉ có 1 điểm chưa thích trên sản phẩm là bình thiết kế phần xoay của nắp trong thân bình nên nhìn ko đẹp mắt. Giá cả hợp lý, nắp ly kín, dùng 1 chạm cũng khá ổn, phù hợp đối tượng các bạn làm văn phòng, ly giữ lạnh tốt., nhưng vẫn bin mồ hôi xung quanh miệng ly.",5,giao hàng nhanh đóng_gói cẩn_thận not-negative hộp sản_phẩm hãng tổng_quan ok 1 thích sản_phẩm bình thiết_kế xoay nắp thân bình không đẹp_mắt giá_cả hợp_lý nắp ly kín dùng 1 chạm ổn phù_hợp đối_tượng văn_phòng ly lạnh tốt bin mồ_hôi xung_quanh miệng ly,Positive
"Bình xịn :))). nắp có chốt khóa k sợ đổ nước. k bị rỉ nước.có lỗ thông hơi. đế su k bị thấm nước. giữ nhiệt lạnh chắc tầm 6 tiếng. Vì mình hay uống nước nên bình k đủ nước cho mình uống ^^ nên k biết nó giữ nhiệt đc mấy tiếng, mình bỏ nước mát nhưng sau 4 tiếng vẫn còn mát.",5,bình xịn nắp chốt khóa k sợ đổ nước k rỉ nước lỗ thông đế su k thấm nước nhiệt lạnh tầm 6 tiếng hay uống nước bình_k nước uống k nhiệt tiếng nước mát sau 4 tiếng mát,Positive
chọiiii ôi...bình rất sịn sò luôn.nắp rất chắc..có cả khóa lại sẽ không mở nắp ra được..không dễ tràn.tiki là nhất rồi..mẫu này mới..cả *** và *** đều chưa bán..mình mua 2 bình..kèm mã giảm giá chỉ 423k..đặt hàng lúc 0h kém...mà 14h chiều đã nhận❤❤,5,chọi ôi bình sịn sò nắp khóa không nắp không dễ tràn tiki mẫu mua 2 bình kèm mã giảm_giá 423k đặt_hàng 0h kém 14h chiều nhận,Positive
"Bình đẹp lắm nha mn,chưa dùng nên ko đánh giá đc độ giữ nhiệt nhưng bình cầm rất ổn, chắc tay. Mình có gói TikiNow nên đặt buổi tối là 8h30 sáng hôm sau nhận hàng luôn, chưa bao giờ mua hàng online mà trải nghiệm tuyệt vời vậy luôn!",5,bình đẹp nha mn dùng không đánh_giá độ nhiệt bình cầm ổn chắc_tay gói tikinow tối 8h30 hôm sau nhận hàng bao_giờ mua hàng online trải nghiệm tuyệt_vời,Positive
"thực sự thất vọng về kiện hàng này, hàng giao tới thì kiện hàng rách nát, và có dấu hiệu bị xé ra từ trước, vỏ bên trong cũng bị xé rách phần đáy như hình, còn về bình thì khi mở khóa nắp ko bật ra, dùng tay cố gắng mở cũng ko mở được. quá thất vọng, hy vọng tiki đổi hàng
cập nhật tình hình sau 2 ngày: phải nói là tiki quá uy tín và bộ phận cskh quá tốt ạ. Ngay ngày hôm sau khi mình báo hàng lỗi thì tiki đến lấy liền, và thực hiện đổi hàng cho mình rất nhanh chỉ trong 2 ngày mình đã nhận được hàng, lúc mình nhận dc là tối khuya chủ nhật, tính ra tiki đổi sản phẩm cả trong ngày nghỉ luôn. Đúng là khi gặp hàng lỗi thì mới biết bộ phận cskh làm việc nhiệt tình và nhanh chóng như v luôn đó. Tin tưởng và sẽ ủng hộ tiki nhiều hơn nữa, mua dc giá sale chỉ 235k thôi. Ly giữ nhiệt này thấy ko bị ri nước so với những loại khác cùng hãng, nên mua nha mn.",5,thực_sự thất_vọng kiện hàng hàng giao kiện hàng rách_nát dấu_hiệu xé vỏ xé rách đáy hình bình khóa nắp không bật dùng cố_gắng không thất_vọng hy_vọng tiki đổi hàng cập_nhật tình_hình sau 2 tiki uy_tín bộ_phận cskh tốt hôm sau báo hàng lỗi tiki liền thực_hiện đổi hàng nhanh 2 nhận hàng nhận tối khuya chủ_nhật tiki đổi sản_phẩm nghỉ đúng hàng lỗi bộ_phận cskh làm_việc nhiệt_tình nhanh_chóng v tin_tưởng ủng_hộ tiki mua giá sale 235k ly nhiệt không ri nước hãng mua nha_mn,Positive
"Bình đẹp, màu xanh nhám mình khá thích. Có chế độ khóa cho nắp k bị bung ra ở phần nắp ly, phiên bản này khá okla. Điểm trừ xíu là thiết kế miệng nhỏ nên cắm ổng hút k được :v nhưng đánh giá chung mình vẫn ưng mẫu thiết kế này.",5,bình đẹp xanh nhám thích chế_độ khóa nắp k bung nắp ly phiên_bản okla trừ xíu thiết_kế miệng nhỏ cắm hút k v đánh_giá ưng mẫu thiết_kế,Positive
